Match,BPrev,BStreak,B_Age,B_Age Group,B_Height,B_ID,B_Weight,RPrev,RStreak,R_Age,R_Age_Group,R_Height,R_ID,R_Weight,winner,Blue Impact,Red Impact Score
582,1,0,34,30's,182,485,84,2,0,37,30's,180,405,77,red,216,5360
583,2,2,29,20's,167,2280,52,1,1,29,20's,154,2338,52,blue,7776,4176
584,2,1,34,30's,180,2160,77,1,1,29,20's,185,2269,77,red,6940,1687
585,3,0,29,20's,175,2089,70,3,2,29,20's,180,2469,77,red,10111,5657
586,3,3,27,20's,177,2502,70,2,2,33,30's,180,2101,70,red,6574,8559
587,1,1,28,20's,180,1974,65,4,4,33,30's,185,1076,77,red,496,9668
588,1,0,32,30's,175,520,70,2,0,32,30's,172,875,70,red,78,3807
589,0,0,30,30's,154,2278,61,1,1,30,30's,167,1317,61,red,0,3684
590,0,0,24,20's,170,2126,61,0,0,30,30's,175,1143,56,blue,0,0
591,0,0,33,30's,182,2579,77,2,1,29,20's,180,2469,77,red,0,2919
592,0,0,37,30's,167,2357,61,0,0,36,30's,172,2356,61,red,0,0
593,2,0,27,20's,165,2235,61,0,0,39,30's,167,2376,61,red,3054,0
594,2,0,43,40's,177,735,120,3,0,34,30's,193,1852,109,red,4020,12246
595,0,0,30,30's,175,2202,65,0,0,28,20's,175,2201,65,blue,0,0
596,4,0,33,30's,177,1655,77,2,0,38,30's,180,347,77,red,11385,876
597,2,0,36,30's,175,2041,65,0,0,27,20's,172,2504,61,blue,4373,0
598,2,0,29,20's,175,2289,65,3,0,24,20's,180,2312,65,blue,5563,13445
599,2,1,33,30's,195,2106,113,0,0,35,30's,190,2424,106,red,3662,0
600,3,0,38,30's,180,1409,93,2,2,33,30's,187,516,93,blue,11469,5242
601,1,0,24,20's,177,2724,65,3,0,30,30's,175,2202,65,blue,1657,5391
602,0,0,28,20's,200,2492,113,1,1,32,30's,190,2425,120,blue,0,3883
603,2,0,28,20's,172,2430,65,2,0,28,20's,180,2315,65,draw,6362,2721
604,0,0,27,20's,190,2281,93,2,0,34,30's,187,2300,93,blue,0,3967
605,0,0,26,20's,172,2238,65,1,0,30,30's,180,2230,65,no contest,0,1989
606,1,0,32,30's,180,525,77,3,0,37,30's,185,1549,77,blue,2560,5865
607,3,0,28,20's,177,1755,65,2,0,35,30's,172,1689,61,red,9100,4930
608,0,0,34,30's,172,1054,65,0,0,30,30's,170,1052,65,red,0,0
609,2,2,31,30's,170,2220,61,2,1,37,30's,162,2196,56,red,6325,7022
610,7,1,28,20's,175,2057,70,4,3,33,30's,175,890,70,blue,17048,13160
611,1,1,32,30's,167,1839,61,1,1,30,30's,170,1828,61,red,4871,291
612,0,0,33,30's,177,1655,77,0,0,29,20's,177,2000,77,blue,0,0
613,1,0,32,30's,162,2135,56,3,0,24,20's,170,2126,61,red,419,9152
614,2,2,32,30's,160,1904,61,3,3,30,30's,160,1495,56,red,5082,11572
615,1,1,29,20's,193,2834,93,1,1,25,20's,190,2840,93,red,1747,1022
616,1,1,31,30's,172,2190,65,0,0,32,30's,182,2092,65,red,4420,0
617,0,0,25,20's,175,2166,56,0,0,30,30's,165,2142,56,blue,0,0
618,1,1,33,30's,182,1989,84,3,2,38,30's,185,2245,84,red,4257,6137
619,0,0,36,30's,195,2799,120,1,0,33,30's,187,2736,120,draw,0,2954
620,0,0,35,30's,177,2028,70,0,0,31,30's,172,1976,70,red,0,0
621,3,2,37,30's,185,2085,93,0,0,25,20's,190,2076,93,red,11043,0
622,0,0,29,20's,162,2870,52,2,1,25,20's,160,2792,52,blue,0,4743
623,1,1,27,20's,182,1867,77,1,1,41,40's,182,870,77,blue,4073,4238
624,4,0,27,20's,177,2502,70,9,0,32,30's,172,875,70,blue,8378,26054
625,5,1,29,20's,177,1481,70,7,5,38,30's,175,1997,70,red,9575,21555
626,0,0,22,20's,170,2320,61,1,1,25,20's,160,2079,52,red,0,4897
627,0,0,28,20's,185,2775,84,3,1,28,20's,190,2302,84,blue,0,5619
628,3,1,24,20's,172,2359,61,7,0,38,30's,167,1170,61,blue,7106,20914
629,0,0,28,20's,165,2823,56,2,1,26,20's,165,2298,56,blue,0,6403
630,0,0,25,20's,175,2484,70,1,0,35,30's,177,461,70,red,0,348
631,0,0,30,30's,177,2738,61,2,1,26,20's,172,2355,61,red,0,4871
632,4,1,24,20's,170,2126,61,4,3,23,20's,162,2217,56,blue,12879,11303
633,0,0,29,20's,172,2854,70,0,0,29,20's,182,2841,70,blue,0,0
634,1,1,36,30's,167,2304,61,3,3,36,30's,175,1706,61,blue,939,6001
635,1,0,30,30's,185,2782,84,7,0,33,30's,182,2087,84,blue,564,10375
636,1,0,29,20's,177,2053,77,1,0,36,30's,180,651,77,blue,4073,3310
637,2,0,31,30's,172,1791,65,2,0,35,30's,170,459,65,red,4330,3222
638,1,0,37,30's,172,2276,61,1,1,30,30's,167,2191,61,no contest,627,960
639,4,4,32,30's,190,1294,84,2,2,32,30's,187,1769,84,blue,4957,8413
640,0,0,29,20's,190,2066,84,1,1,33,30's,182,2286,84,blue,0,758
641,1,1,43,40's,177,735,120,1,1,39,30's,193,308,104,red,2154,7774
642,0,0,32,30's,185,2623,93,0,0,30,30's,190,2608,93,red,0,0
643,0,0,34,30's,177,1463,77,0,0,29,20's,182,2587,77,red,0,0
644,5,0,31,30's,175,965,77,4,0,36,30's,182,432,77,blue,10489,8610
645,1,0,35,30's,172,460,70,1,0,33,30's,180,1871,70,red,1456,2689
646,1,0,32,30's,182,2365,77,2,0,28,20's,182,2754,84,blue,585,6542
647,1,0,33,30's,162,2152,56,1,1,32,30's,160,1904,61,red,3527,2493
648,4,3,29,20's,180,2469,77,8,0,33,30's,185,1076,77,red,8085,20843
649,1,0,30,30's,187,2156,77,1,0,31,30's,182,2180,77,red,3208,3728
650,4,1,28,20's,182,2216,65,4,1,27,20's,182,2159,70,red,13588,8582
651,0,0,31,30's,172,2757,61,2,0,33,30's,170,2293,61,red,0,7457
652,0,0,30,30's,180,2230,65,0,0,35,30's,172,452,70,red,0,0
653,2,1,26,20's,193,2764,120,1,1,29,20's,190,2763,104,no contest,5096,2530
654,0,0,27,20's,185,2790,93,0,0,28,20's,185,2789,84,red,0,0
655,1,1,28,20's,182,2048,65,1,0,32,30's,177,1486,65,red,3858,3926
656,0,0,29,20's,177,1481,70,0,0,33,30's,172,509,70,red,0,0
657,5,0,26,20's,177,2119,65,4,0,32,30's,172,1980,65,blue,10465,13112
658,2,2,39,30's,182,1866,84,1,1,37,30's,180,1403,84,blue,7190,1177
659,3,0,33,30's,175,511,70,7,2,33,30's,172,509,70,red,9266,14212
660,1,0,28,20's,172,1340,70,2,0,32,30's,172,530,70,blue,7614,3021
