BPrev,BStreak,B_Age,B_Height,B_HomeTown,B_ID,B_Location,B_Name,B_Weight,Date,Event_ID,Fight_ID,Last_round,Max_round,RPrev,R_Age,R_Height,R_HomeTown,R_ID,R_Location,R_Name,R_Weight,winby,winner
0,0,26,165,"São Geraldo do Araguaia, Para Brazil",3049,"São Geraldo do Araguaia, Para Brazil",Polyana Viana,52,2/10/2018,856,7033,1,3,0,36,162,"San Diego, California United States",3048,"San Diego, California United States",Maia Stevenson,52,SUB,blue
2,2,31,185,"San Antonio , Texas United States",2954,"Birmingham, Alabama United States",Eryk Anders,93,2/10/2018,856,7044,5,5,6,40,185,Salvador Brazil,346,"Balem, Brazil USA",Lyoto Machida,84,DEC,red
2,1,32,175,Gorazde Bosnia,2758,Copenhagen Denmark,Damir Hadzovic,70,2/19/2018,856,7056,3,3,4,35,180,Amazonas Brazil,2101,Rio de Janeiro Brazil,Alan Patrick,70,DEC,red
7,0,31,167,"Porterville, California United States",2309,"Porterville, California United States",Joe Soto,61,2/10/2018,856,7057,1,3,10,38,175,Marajo Brazil,1706,"Soure, Para Brazil",Iuri Alcantara,61,KO/TKO,red
2,0,28,177,"Rochester, New York United States",2872,"Fort Lauderdale, Florida United States",Desmond Green,70,2/10/2018,856,7079,3,3,7,37,167,"Belem, Para Brazil",2074,"Belem, Para Brazil",Michel Prazeres,77,DEC,red
12,0,34,187,"Wilburton, Oklahoma United States",1952,"Albuquerque, New Mexico United States",Tim Means,77,2/10/2018,856,7080,3,3,6,36,182,São Paulo Brasil,1992,Curitiba Brazil,Sergio Moraes,77,DEC,red
7,0,25,172,"Chone, Manabi Ecuador",2359,"Chone, Manabi Ecuador",Marlon Vera,61,2/10/2018,856,7081,3,3,4,33,170,"Castanhal, Para Brazil",2183,"Castanhal, Para Brazil",Douglas Silva de Andrade,61,DEC,red
7,1,33,190,"Santa Cruz, California United States",1294,"Santa Cruz, California United States",Luke Rockhold,84,2/11/2018,857,7023,3,5,7,41,182,Pinar del Rio Cuba,1866,"Coconut Creek, Florida United States",Yoel Romero,84,KO/TKO,red
1,0,31,185,Dagestan Russia,2849,Makhachkala Russia,Saparbeg Safarov,93,2/11/2018,857,7024,1,3,3,27,190,Sydney Australia ,2840,Sydney Australia ,Tyson Pedro,93,SUB,red
5,2,30,165,"Sioux Falls, South Dakota United States",2505,Brisbane Australia,Ben Nguyen,56,2/11/2018,857,7025,3,3,7,33,165,Rio Grande do Norte Brazil,2011,Natal Brazil,Jussier Formiga,56,SUB,red
5,2,27,193,"Chicago, Illinois United States",2764,"Chicago, Illinois  United States",Curtis Blaydes,120,2/11/2018,857,7034,3,3,8,44,177,South Auckland New Zealand,735,Sydney Australia,Mark Hunt,120,DEC,blue
4,2,36,187,Suwon South Korea,2709,Busan South Korea,Dong Hyun Kim,77,2/11/2018,857,7046,3,3,5,33,177,"Albury, NSW Austrailia",2762,"Brisbane, QLD Australia",Damien Brown,70,DEC,blue
4,3,28,172,"Tlaltenango, Zacatecas Mexico",2355,"San Diego, California United States ",Jose Quinonez,61,2/11/2018,857,7053,3,3,6,27,170,Kagoshima Japan,2655,Osaka Japan,Teruto Ishihara,61,DEC,blue
3,0,37,170,Nagasaki Japan,1177,Tokyo Japan,Mizuto Hirota,70,2/11/2018,857,7059,3,3,12,34,172,Sunderland England,875,Sunderland England,Ross Pearson,70,DEC,red
0,0,29,193,Lagos Nigeria,3051,Auckland New Zealand,Israel Adesanya,84,2/11/2018,857,7065,2,3,1,26,190,"Hobart, Tasmania Australia",3004,Sydney Australia,Rob Wilkinson,84,KO/TKO,blue
8,4,30,182,Xinjiang China,2206,Beijing China,Li Jingliang,77,2/11/2018,857,7068,3,3,8,24,180,"Melbourne, Victoria Australia",2258,"Epping, Victoria Australia",Jake Matthews,77,DEC,red
