B_Age,B_Height,B_ID,B_Weight,Event_ID,Fight_ID,R_Age,R_Height,R_ID,R_Weight,winner
32,172,1184,61,668,4806,27,172,1979,61,blue
27,175,2797,70,779,6142,35,167,2074,70,red
25,170,2655,65,768,6000,27,185,2728,65,blue
34,182,1992,77,758,5766,29,182,2104,77,blue
33,190,2252,84,668,4805,36,187,1694,93,red
35,165,438,61,796,6332,38,170,1860,61,red
30,167,2099,61,650,4667,32,167,1839,61,red
29,213,649,120,695,5054,36,193,808,120,red
36,170,1401,61,677,4856,33,165,2133,61,red
27,162,2589,61,749,5760,30,167,2191,61,blue
31,172,1976,70,697,5096,34,177,1493,70,no contest
27,167,2583,61,731,5573,31,167,1056,56,blue
28,175,2843,61,813,6533,28,175,2785,61,red
38,190,1163,120,759,5788,34,200,1515,115,red
35,170,2811,63,791,6251,31,172,1194,63,red
36,182,435,84,794,6318,34,182,1594,84,blue
37,180,1781,84,716,5373,31,187,786,84,red
38,177,1296,77,758,5769,29,185,2656,77,red
29,177,2053,77,764,5904,41,182,870,77,red
26,162,2253,56,674,4889,33,167,2125,56,red
26,177,2586,77,771,6040,26,190,2739,77,blue
35,177,648,70,756,5716,32,177,524,70,blue
29,177,2192,61,703,5201,31,170,2183,61,red
37,167,2357,61,724,5596,34,167,1999,61,blue
30,193,2659,113,806,6476,38,193,367,109,blue
27,170,2054,61,695,5101,30,162,2299,56,red
27,154,2340,52,771,5986,24,165,2344,52,red
35,185,2227,77,768,5960,32,182,1820,77,blue
27,193,2323,77,727,5492,35,182,2291,77,red
33,187,502,77,759,5832,37,180,405,77,red
27,167,1511,61,778,6099,34,167,2017,61,blue
27,177,2168,70,651,4613,36,177,1478,70,blue
29,170,2259,65,685,4971,29,170,1993,65,red
35,172,1689,61,664,4761,33,170,1051,61,red
36,177,407,77,810,6538,35,167,2074,70,red
31,160,2678,52,782,6162,24,165,2344,52,blue
46,180,129,84,662,4691,35,185,457,93,blue
32,172,875,70,681,4935,37,172,374,65,blue
31,167,1056,56,668,4826,34,165,1034,61,red
31,190,2753,113,769,5994,32,190,2425,120,red
33,177,514,70,700,5242,33,180,1815,70,red
36,187,1694,93,706,5357,33,190,1499,93,red
28,177,1919,70,661,4635,32,175,532,70,blue
27,170,2705,65,746,5866,26,177,2704,65,blue
28,172,1719,61,738,5550,36,167,2022,61,blue
32,180,525,77,763,5892,25,190,2510,77,red
27,167,1511,61,744,5640,30,167,2099,61,blue
36,182,432,77,704,5245,33,175,947,84,red
27,182,2159,70,682,4901,27,177,2168,70,red
37,182,372,84,750,5702,33,187,507,93,blue
27,182,2263,77,711,5323,30,177,2222,70,red
30,175,2421,65,702,5168,26,172,2213,65,red
38,175,1997,70,664,4764,29,185,1985,70,red
31,187,2761,112,803,6433,32,187,2767,114,blue
36,182,2174,77,685,4949,36,185,2100,77,blue
24,177,2795,65,792,6352,27,170,2705,65,red
30,180,2230,65,813,6607,28,180,1974,65,red
33,172,1050,65,692,5072,35,167,451,65,red
27,170,2177,61,806,6501,34,165,1039,61,red
29,177,2422,65,761,5860,28,177,1755,65,red
25,162,2306,52,779,6131,32,162,2343,52,red
34,193,1161,111,669,4832,38,193,367,109,red
23,180,2786,84,786,6195,36,190,1810,84,red
32,175,2208,70,761,5853,28,175,2223,70,blue
36,195,2215,118,799,6378,30,193,2659,113,red
34,182,1944,77,732,5485,31,175,965,77,blue
31,167,1484,65,687,4974,30,170,1052,65,red
26,175,2211,61,671,4866,28,170,2240,61,red
39,182,1866,84,731,5500,38,185,346,84,blue
40,182,1015,119,816,6602,28,200,2492,113,red
28,175,2529,70,753,5711,31,177,1982,70,blue
34,167,2748,61,803,6484,36,167,2304,61,blue
30,190,1984,70,718,5338,22,175,2258,70,blue
29,177,1481,70,697,5085,31,177,1982,70,blue
32,180,1272,77,782,6181,32,172,875,70,blue
36,170,2332,56,772,6064,23,167,2118,56,red
32,177,2361,65,689,5129,28,172,2360,65,red
35,167,2074,70,746,5706,31,182,2261,70,blue
34,175,1386,77,653,4650,32,187,663,77,blue
35,203,2194,115,661,4735,32,190,2082,118,red
30,170,1970,56,798,6444,30,160,1495,56,red
34,177,1817,70,651,4614,28,180,1814,70,red
29,190,2072,84,670,4829,30,187,2061,93,red
31,182,2241,84,673,4865,35,187,2218,84,red
33,180,1815,70,792,6247,32,175,532,70,blue
35,177,2131,77,701,5192,29,190,2047,77,red
34,175,1386,77,669,4808,27,182,1176,77,red
31,162,1913,61,694,5053,30,170,2189,61,blue
33,180,1815,70,727,5419,38,177,356,70,blue
28,177,2373,65,811,6530,23,172,2570,65,red
25,160,2792,52,776,6199,26,165,2791,52,red
38,180,1409,93,691,4906,29,193,549,93,red
