,fighter1,fighter2,winner,weight_class,title_fight,method,end_round,fight_year,win_fighter1,lose_fighter1,draw_fighter1,nc_fighter1,height_fighter1,reach_fighter1,stance_fighter1,SLpM_fighter1,Str_Acc_fighter1,SApM_fighter1,Str_Def_fighter1,TD_Avg_fighter1,TD_Acc_fighter1,TD_Def_fighter1,Sub_Avg_fighter1,win%_fighter1,born_year_fighter1,win_fighter2,lose_fighter2,draw_fighter2,nc_fighter2,height_fighter2,reach_fighter2,stance_fighter2,SLpM_fighter2,Str_Acc_fighter2,SApM_fighter2,Str_Def_fighter2,TD_Avg_fighter2,TD_Acc_fighter2,TD_Def_fighter2,Sub_Avg_fighter2,win%_fighter2,born_year_fighter2
1827,Jared Papazian,Mike Easton,0,Bantamweight,f,DEC,3,2012,14,9,0,1,"5' 8""","67""",Southpaw,3.33,39.0,3.81,44.0,0.0,0.0,50.0,0.0,58.333332,1988,13,5,0,0,"5' 6""","70""",Southpaw,3.51,37.0,4.28,61.0,0.75,22.0,66.0,0.0,72.22222,1984
1828,Christian Morecraft,Pat Barry,0,Heavyweight,f,KO/TKO,1,2012,7,3,0,0,"6' 6""","81""",Orthodox,2.82,34.0,2.46,46.0,3.26,66.0,50.0,2.2,70.0,1986,8,7,0,0,"5' 11""","74""",Orthodox,2.72,52.0,3.54,59.0,0.0,0.0,76.0,0.2,53.333332,1979
1829,Lavar Johnson,Joey Beltran,1,Heavyweight,f,KO/TKO,1,2012,17,7,0,0,"6' 4""","82""",Orthodox,5.39,55.0,2.54,55.0,0.61,66.0,54.0,0.6,70.833336,1977,15,9,0,1,"6' 1""","75""",Orthodox,4.92,36.0,5.27,54.0,0.48,18.0,75.0,0.0,60.0,1981
1830,Chris Camozzi,Dustin Jacoby,1,Middleweight,f,SUB,3,2012,24,13,0,0,"6' 2""","76""",Orthodox,3.57,44.0,2.96,56.0,0.27,19.0,57.0,0.5,64.86487,1986,6,3,0,0,"6' 4""","78""",Orthodox,1.5,25.0,2.65,61.0,0.0,0.0,28.0,0.0,66.666664,1988
1831,Eric Schafer,Jorge Rivera,0,Middleweight,f,KO/TKO,2,2012,14,7,2,0,"6' 3""","75""",Orthodox,1.89,34.0,3.38,56.0,1.81,36.0,50.0,1.8,60.869564,1977,19,9,0,0,"6' 1""","73""",Orthodox,3.16,48.0,2.64,54.0,0.84,50.0,63.0,0.1,67.85714,1972
1832,Khabib Nurmagomedov,Kamal Shalorus,1,Lightweight,f,SUB,3,2012,27,0,0,0,"5' 10""","70""",Orthodox,4.29,49.0,1.7,66.0,5.09,44.0,84.0,0.6,100.0,1988,7,3,2,0,"5' 8""","68""",Orthodox,3.06,32.0,2.99,70.0,2.07,50.0,80.0,0.0,58.333332,1972
1833,Daniel Roberts,Charlie Brenneman,0,Welterweight,f,DEC,3,2012,12,4,0,0,"5' 10""","74""",Southpaw,0.73,20.0,2.27,46.0,2.46,44.0,40.0,2.5,75.0,1980,19,8,0,0,"5' 10""","72""",Orthodox,1.52,56.0,1.55,46.0,4.23,42.0,72.0,0.0,70.37037,1981
1834,Tommy Hayden,Fabricio Camoes,0,Lightweight,f,SUB,1,2012,8,2,0,0,"5' 9""","72""",Southpaw,1.48,27.0,2.05,55.0,3.42,33.0,66.0,0.0,80.0,1986,14,9,1,0,"5' 10""","73""",Orthodox,1.29,33.0,1.85,61.0,2.34,32.0,20.0,1.5,58.333332,1978
1835,Pat Schilling,Daniel Pineda,0,Featherweight,f,SUB,1,2012,5,2,0,0,"5' 8""","69""",Orthodox,1.87,26.0,8.24,52.0,0.0,0.0,0.0,0.0,71.42857,1988,18,11,0,0,"5' 7""","69""",Orthodox,2.99,43.0,2.51,47.0,1.46,25.0,48.0,2.0,62.068966,1985
1836,Nick Denis,Joseph Sandoval,1,Bantamweight,f,KO/TKO,1,2012,11,3,0,0,"5' 7""",,Orthodox,6.54,53.0,5.42,36.0,2.8,100.0,80.0,0.0,78.57143,1983,6,2,0,0,"5' 7""",,Southpaw,1.82,42.0,12.12,60.0,0.0,0.0,0.0,0.0,75.0,1986
1837,Nick Diaz,Carlos Condit,0,Welterweight,t,DEC,5,2012,26,9,0,2,"6' 1""","76""",Southpaw,5.43,42.0,3.56,61.0,1.32,33.0,60.0,1.0,70.27027,1983,30,12,0,0,"6' 2""","75""",Orthodox,3.62,39.0,2.36,57.0,0.59,55.0,37.0,1.1,71.42857,1984
1838,Fabricio Werdum,Roy Nelson,1,Heavyweight,f,DEC,3,2012,23,8,1,0,"6' 4""","77""",Orthodox,3.61,51.0,2.45,56.0,1.65,30.0,31.0,1.1,71.875,1977,23,14,0,0,"6' 0""","72""",Orthodox,2.18,36.0,4.79,46.0,1.14,27.0,65.0,0.1,62.162163,1976
1839,Josh Koscheck,Mike Pierce,1,Welterweight,f,DEC,3,2012,19,10,0,0,"5' 10""","73""",Orthodox,1.79,36.0,2.27,63.0,2.46,48.0,64.0,0.4,65.51724,1977,17,7,0,0,"5' 8""","70""",Orthodox,2.62,42.0,2.36,62.0,3.08,42.0,71.0,0.2,70.833336,1980
1840,Renan Barao,Scott Jorgensen,1,Bantamweight,f,DEC,3,2012,36,7,0,1,"5' 6""","70""",Orthodox,3.7,36.0,3.76,58.0,1.5,45.0,91.0,0.6,81.818184,1987,15,12,0,0,"5' 5""","66""",Orthodox,3.37,40.0,3.41,65.0,2.61,45.0,59.0,0.7,55.555557,1982
1841,Ed Herman,Clifford Starks,1,Middleweight,f,SUB,2,2012,24,14,0,1,"6' 1""","77""",Orthodox,3.18,49.0,3.05,44.0,2.41,51.0,60.0,1.3,61.53846,1980,8,2,0,0,"6' 0""","77""",Orthodox,1.94,33.0,2.49,58.0,1.94,100.0,60.0,0.0,80.0,1981
1842,Dustin Poirier,Max Holloway,1,Featherweight,f,SUB,1,2012,24,5,0,1,"5' 9""","72""",Southpaw,5.59,49.0,3.69,56.0,1.75,41.0,69.0,1.3,80.0,1989,19,3,0,0,"5' 11""","69""",Orthodox,6.2,43.0,3.9,65.0,0.28,80.0,83.0,0.5,86.36364,1991
1843,Edwin Figueroa,Alex Caceres,1,Bantamweight,f,DEC,3,2012,9,4,0,0,"5' 7""","69""",Orthodox,2.57,39.0,3.06,51.0,0.2,100.0,37.0,0.6,69.23077,1984,14,11,0,1,"5' 10""","73""",Southpaw,3.86,49.0,2.78,63.0,0.57,75.0,59.0,0.8,53.846153,1988
1844,Matt Brown,Chris Cope,1,Welterweight,f,KO/TKO,2,2012,23,16,0,0,"6' 0""","75""",Orthodox,3.78,53.0,2.64,56.0,1.57,46.0,63.0,1.6,58.974358,1981,5,4,0,0,"6' 0""","72""",Orthodox,3.96,26.0,4.82,50.0,0.0,0.0,80.0,0.0,55.555557,1983
1845,Henry Martinez,Matthew Riddle,0,Welterweight,f,DEC,3,2012,9,3,0,0,"5' 7""","68""",Southpaw,2.79,25.0,4.01,60.0,0.0,0.0,80.0,0.0,75.0,1983,7,3,0,2,"6' 1""","74""",Southpaw,3.01,42.0,2.74,54.0,3.51,50.0,89.0,0.5,58.333332,1986
1846,Michael Kuiper,Rafael Natal,0,Middleweight,f,DEC,3,2012,12,3,0,0,"6' 0""","73""",Orthodox,3.28,54.0,3.62,54.0,2.3,55.0,79.0,0.0,80.0,1989,21,9,1,0,"6' 0""","76""",Orthodox,3.1,47.0,2.48,57.0,2.55,34.0,77.0,0.5,67.741936,1982
1847,Stephen Thompson,Dan Stittgen,1,Welterweight,f,KO/TKO,1,2012,14,3,1,0,"6' 0""","75""",Orthodox,3.45,42.0,2.51,60.0,0.41,45.0,78.0,0.0,77.77778,1983,7,3,0,0,"6' 1""",,Orthodox,2.97,46.0,4.42,37.0,0.78,100.0,100.0,0.0,70.0,1980
1848,Jake Ellenberger,Diego Sanchez,1,Welterweight,f,DEC,3,2012,31,15,0,0,"5' 9""","71""",Orthodox,2.47,39.0,2.83,60.0,2.04,47.0,86.0,0.4,67.391304,1985,30,11,0,0,"5' 10""","72""",Southpaw,2.76,37.0,2.91,57.0,1.52,22.0,50.0,0.9,73.17073,1981
1849,Dave Herman,Stefan Struve,0,Heavyweight,f,KO/TKO,2,2012,21,6,0,0,"6' 4""","76""",Orthodox,4.98,60.0,3.78,48.0,1.49,100.0,58.0,0.0,77.77778,1984,32,11,0,0,"6' 11""","84""",Orthodox,3.14,45.0,3.92,47.0,0.54,50.0,54.0,1.8,74.4186,1988
1850,Ronny Markes,Aaron Simpson,1,Middleweight,f,DEC,3,2012,14,3,0,0,"6' 1""","75""",Orthodox,2.17,53.0,2.43,45.0,3.13,40.0,100.0,0.5,82.35294,1988,11,4,0,0,"6' 0""","73""",Orthodox,3.6,52.0,2.53,56.0,3.78,34.0,83.0,0.5,73.333336,1974
1851,Philip De Fries,Stipe Miocic,0,Heavyweight,f,KO/TKO,1,2012,9,3,0,1,"6' 5""","82""",Orthodox,2.3,47.0,3.0,37.0,3.29,42.0,100.0,0.6,69.23077,1986,18,3,0,0,"6' 4""","80""",Orthodox,4.76,51.0,2.96,62.0,2.38,38.0,75.0,0.0,85.71429,1982
1852,Walel Watson,TJ Dillashaw,0,Bantamweight,f,DEC,3,2012,9,5,0,0,"5' 11""","69""",Orthodox,2.1,29.0,3.79,43.0,0.0,0.0,61.0,1.4,64.28571,1984,17,3,0,0,"5' 6""","67""",Orthodox,5.38,41.0,2.94,66.0,1.69,37.0,86.0,1.0,85.0,1986
1853,Ivan Menjivar,John Albert,1,Bantamweight,f,SUB,1,2012,25,12,0,0,"5' 6""","64""",Orthodox,2.78,37.0,2.76,65.0,0.56,28.0,38.0,1.0,67.567566,1982,7,5,0,0,"5' 8""","68""",,3.05,49.0,2.82,35.0,0.0,0.0,50.0,6.1,58.333332,1986
1854,Vagner Rocha,Jonathan Brookins,0,Featherweight,f,KO/TKO,1,2012,11,4,0,0,"5' 10""","73""",Orthodox,2.64,42.0,4.5,48.0,1.4,33.0,50.0,1.9,73.333336,1982,14,6,0,0,"6' 0""","73""",Southpaw,2.69,39.0,3.63,56.0,1.94,17.0,80.0,0.3,70.0,1985
1855,Justin Salas,Anton Kuivanen,1,Lightweight,f,DEC,3,2012,12,7,0,0,"5' 8""","70""",Southpaw,3.42,43.0,2.96,68.0,2.43,20.0,0.0,0.0,63.157894,1982,17,6,0,0,"5' 8""","72""",Orthodox,2.27,38.0,1.63,67.0,1.2,100.0,71.0,0.4,73.91304,1984
1856,Bernardo Magalhaes,Tim Means,0,Lightweight,f,DEC,3,2012,11,3,0,0,"5' 9""","65""",Orthodox,1.8,27.0,3.37,68.0,0.0,0.0,0.0,0.5,78.57143,1981,27,10,1,1,"6' 2""","75""",Orthodox,4.71,44.0,3.22,63.0,0.66,44.0,63.0,0.2,69.23077,1984
1857,Frankie Edgar,Benson Henderson,0,Lightweight,t,DEC,5,2012,22,6,1,0,"5' 6""","68""",Orthodox,3.59,40.0,2.22,70.0,2.47,33.0,65.0,0.4,75.86207,1981,23,5,0,0,"5' 9""","70""",Southpaw,2.93,45.0,1.79,63.0,2.4,45.0,63.0,0.8,82.14286,1983
1858,Ryan Bader,Rampage Jackson,1,Light Heavyweight,f,DEC,3,2012,23,5,0,0,"6' 2""","74""",Orthodox,2.82,43.0,1.39,71.0,3.37,44.0,80.0,0.4,82.14286,1983,36,11,0,0,"6' 1""","73""",Orthodox,3.25,54.0,2.51,55.0,1.52,56.0,73.0,0.1,76.59574,1978
1859,Mark Hunt,Cheick Kongo,1,Heavyweight,f,KO/TKO,1,2012,13,13,1,1,"5' 10""","72""",Orthodox,2.89,43.0,2.84,51.0,0.53,55.0,64.0,0.2,46.42857,1974,29,9,2,0,"6' 4""","82""",Orthodox,3.33,56.0,1.28,54.0,2.3,56.0,52.0,0.2,72.5,1975
1860,Jake Shields,Yoshihiro Akiyama,1,Welterweight,f,DEC,3,2012,29,7,1,1,"6' 0""","72""",Orthodox,2.45,36.0,1.8,56.0,2.83,29.0,35.0,1.2,76.31579,1979,14,6,0,2,"5' 10""","73""",Orthodox,3.1,41.0,3.62,57.0,2.29,67.0,92.0,1.0,63.636364,1975
1861,Yushin Okami,Tim Boetsch,0,Middleweight,f,KO/TKO,3,2012,35,11,0,0,"6' 2""","75""",Southpaw,2.14,39.0,2.1,62.0,2.1,46.0,84.0,0.5,76.08696,1981,21,12,0,0,"6' 0""","74""",Orthodox,2.94,51.0,2.86,56.0,1.56,35.0,57.0,0.8,63.636364,1981
1862,Hatsu Hioki,Bart Palaszewski,1,Featherweight,f,DEC,3,2012,27,9,2,0,"5' 11""","70""",Orthodox,2.42,42.0,2.12,65.0,2.55,56.0,54.0,0.6,71.052635,1983,35,17,0,0,"5' 9""","70""",Orthodox,2.67,32.0,3.97,57.0,0.65,31.0,53.0,0.5,67.30769,1983
1863,Joe Lauzon,Anthony Pettis,0,Lightweight,f,KO/TKO,1,2012,27,16,0,0,"5' 10""","71""",Orthodox,2.74,38.0,5.39,54.0,2.34,45.0,54.0,2.1,62.7907,1984,21,8,0,0,"5' 10""","72""",Orthodox,2.85,45.0,3.16,54.0,0.76,54.0,58.0,1.3,72.413795,1987
1864,Eiji Mitsuoka,Takanori Gomi,0,Lightweight,f,KO/TKO,2,2012,18,9,2,0,"5' 7""",,Southpaw,1.49,49.0,2.26,45.0,2.3,36.0,20.0,1.6,62.068966,1976,35,14,0,1,"5' 7""","70""",Southpaw,3.81,41.0,3.52,60.0,1.23,65.0,63.0,0.8,70.0,1978
1865,Vaughan Lee,Norifumi Yamamoto,1,Bantamweight,f,SUB,1,2012,14,11,1,0,"5' 6""","66""",Orthodox,3.47,47.0,2.07,70.0,0.81,33.0,72.0,1.0,53.846153,1982,18,6,0,2,"5' 4""","66""",Southpaw,2.09,45.0,2.01,57.0,0.41,22.0,45.0,0.0,69.23077,1977
1866,Steve Cantwell,Riki Fukuda,0,Middleweight,f,DEC,3,2012,7,6,0,0,"6' 2""","75""",Orthodox,3.63,34.0,5.76,55.0,0.65,30.0,80.0,0.7,53.846153,1986,19,7,0,1,"6' 0""","73""",Southpaw,4.24,43.0,3.71,64.0,2.17,43.0,70.0,0.0,70.37037,1981
1867,Takeya Mizugaki,Chris Cariaso,0,Bantamweight,f,DEC,3,2012,21,11,2,0,"5' 7""","68""",Orthodox,3.37,37.0,3.27,57.0,1.46,57.0,70.0,0.1,61.764706,1983,17,8,0,0,"5' 3""","63""",Southpaw,3.35,43.0,2.23,61.0,1.11,39.0,57.0,0.8,68.0,1981
1868,Issei Tamura,Tiequan Zhang,1,Featherweight,f,KO/TKO,2,2012,7,4,0,0,"5' 5""","63""",Orthodox,1.89,53.0,4.58,44.0,0.92,25.0,33.0,0.0,63.636364,1984,18,4,0,0,"5' 8""","70""",Orthodox,1.23,36.0,2.14,51.0,1.95,58.0,75.0,3.4,81.818184,1978
1869,Martin Kampmann,Thiago Alves,1,Welterweight,f,SUB,3,2012,20,7,0,0,"6' 0""","72""",Orthodox,3.22,42.0,3.28,62.0,1.86,41.0,78.0,2.0,74.07407,1982,27,13,0,0,"5' 9""","70""",Orthodox,3.61,40.0,3.13,64.0,0.74,68.0,63.0,0.3,67.5,1983
1870,Yasuhiro Urushitani,Joseph Benavidez,0,Flyweight,f,KO/TKO,2,2012,19,6,6,0,"5' 5""",,Southpaw,3.47,39.0,4.71,65.0,0.0,0.0,80.0,0.0,61.29032,1976,25,5,0,0,"5' 4""","65""",Southpaw,3.44,32.0,2.5,64.0,1.26,27.0,66.0,0.7,83.333336,1984
1871,Court McGee,Costas Philippou,0,Middleweight,f,DEC,3,2012,20,7,0,0,"5' 11""","75""",Orthodox,4.72,36.0,3.43,63.0,1.98,24.0,62.0,0.5,74.07407,1984,13,5,0,1,"5' 11""","73""",Orthodox,2.19,35.0,2.73,54.0,0.4,42.0,65.0,0.3,68.42105,1979
1872,James Te Huna,Aaron Rosa,1,Light Heavyweight,f,KO/TKO,1,2012,18,9,0,0,"6' 2""","75""",Orthodox,4.04,51.0,2.99,62.0,2.75,37.0,58.0,0.2,66.666664,1981,17,5,0,0,"6' 4""","78""",Orthodox,4.03,47.0,4.41,45.0,0.36,33.0,85.0,0.4,77.27273,1983
1873,Anthony Perosh,Nick Penner,1,Light Heavyweight,f,KO/TKO,1,2012,15,10,0,0,"6' 3""","75""",Orthodox,2.27,43.0,3.77,53.0,2.03,22.0,33.0,1.1,60.0,1972,12,3,0,0,"6' 4""","77""",Southpaw,1.25,30.0,4.6,38.0,0.0,0.0,40.0,0.0,80.0,1980
1874,Steven Siler,Cole Miller,1,Featherweight,f,DEC,3,2012,23,13,0,0,"5' 11""","70""",Orthodox,3.21,41.0,2.96,54.0,0.47,21.0,55.0,1.6,63.88889,1987,21,11,0,1,"6' 1""","74""",Orthodox,3.0,33.0,3.88,59.0,0.6,36.0,38.0,1.8,63.636364,1984
1875,Andrew Craig,Kyle Noke,1,Middleweight,f,DEC,3,2012,9,4,0,0,"6' 1""","76""",Orthodox,2.39,40.0,3.01,50.0,0.53,37.0,72.0,0.0,69.23077,1986,22,10,1,0,"6' 1""","76""",Southpaw,3.23,50.0,2.09,64.0,1.53,54.0,66.0,0.8,66.666664,1980
1876,Jake Hecht,TJ Waldburger,0,Welterweight,f,SUB,1,2012,11,4,0,0,"6' 0""","76""",Orthodox,3.26,47.0,2.76,56.0,2.04,37.0,40.0,0.0,73.333336,1984,16,9,0,0,"5' 11""","75""",Orthodox,2.02,51.0,2.39,40.0,3.03,46.0,40.0,4.8,64.0,1988
1877,Mackens Semerzier,Daniel Pineda,0,Featherweight,f,SUB,1,2012,8,4,0,1,"5' 9""","72""",Orthodox,2.91,45.0,3.48,46.0,2.14,50.0,50.0,2.1,61.53846,1980,18,11,0,0,"5' 7""","69""",Orthodox,2.99,43.0,2.51,47.0,1.46,25.0,48.0,2.0,62.068966,1985
1878,Shawn Jordan,Oli Thompson,1,Heavyweight,f,KO/TKO,2,2012,18,7,0,0,"6' 0""","75""",Southpaw,2.87,50.0,3.3,47.0,1.97,38.0,76.0,0.1,72.0,1984,9,4,0,0,"6' 1""","75""",Orthodox,1.66,46.0,5.31,46.0,0.0,0.0,50.0,0.5,69.23077,1980
1879,Alexander Gustafsson,Thiago Silva,1,Light Heavyweight,f,DEC,3,2012,18,4,0,0,"6' 5""","79""",Orthodox,4.18,40.0,3.4,52.0,1.76,40.0,85.0,0.5,81.818184,1987,16,3,0,2,"6' 2""","74""",Orthodox,3.92,50.0,2.55,67.0,1.03,47.0,70.0,0.7,76.190475,1982
1880,Brian Stann,Alessio Sakara,1,Middleweight,f,KO/TKO,1,2012,12,6,0,0,"6' 1""","74""",Orthodox,3.28,42.0,2.65,59.0,0.12,12.0,60.0,0.3,66.666664,1980,19,11,0,1,"6' 0""","72""",Orthodox,3.96,47.0,2.8,59.0,2.18,78.0,62.0,0.0,61.29032,1981
1881,Siyar Bahadurzada,Paulo Thiago,1,Welterweight,f,KO/TKO,1,2012,24,6,1,0,"5' 11""","73""",Orthodox,3.49,49.0,2.22,52.0,1.24,83.0,68.0,0.5,77.41936,1984,15,8,0,0,"5' 11""","73""",Orthodox,1.71,39.0,1.99,63.0,1.42,31.0,63.0,1.2,65.21739,1981
1882,Diego Nunes,Dennis Siver,0,Featherweight,f,DEC,3,2012,18,4,0,0,"5' 6""","67""",Orthodox,2.72,43.0,2.59,58.0,1.18,44.0,65.0,0.6,81.818184,1982,23,11,0,1,"5' 6""","70""",Orthodox,3.87,32.0,2.67,65.0,0.87,32.0,65.0,0.3,65.71429,1979
1883,John Maguire,DaMarques Johnson,1,Welterweight,f,SUB,2,2012,18,6,0,0,"5' 9""","69""",Southpaw,1.41,41.0,2.44,65.0,2.8,46.0,77.0,1.1,75.0,1983,18,12,0,0,"6' 1""","75""",Orthodox,2.11,37.0,3.75,51.0,1.18,55.0,19.0,0.7,60.0,1982
1884,Damacio Page,Brad Pickett,0,Bantamweight,f,SUB,2,2012,12,8,0,0,"5' 6""","66""",Orthodox,2.05,38.0,2.47,51.0,2.63,64.0,23.0,0.9,60.0,1982,26,14,0,0,"5' 6""","68""",Orthodox,3.02,31.0,4.63,55.0,2.47,44.0,58.0,0.4,65.0,1978
1885,Papy Abedi,James Head,0,Welterweight,f,SUB,1,2012,9,3,0,0,"5' 11""","74""",Southpaw,2.8,55.0,3.15,48.0,3.47,57.0,50.0,1.3,75.0,1978,9,4,0,0,"6' 1""","73""",Orthodox,2.75,48.0,3.11,49.0,0.41,100.0,66.0,0.8,69.23077,1984
1886,Tom DeBlass,Cyrille Diabate,0,Light Heavyweight,f,DEC,3,2012,7,2,0,0,"6' 0""","75""",Orthodox,1.5,35.0,4.43,37.0,1.0,50.0,28.0,0.5,77.77778,1982,20,10,3,0,"6' 6""","81""",Southpaw,4.06,71.0,1.78,60.0,1.17,83.0,53.0,0.2,60.60606,1973
1887,Francis Carmont,Magnus Cedenblad,1,Middleweight,f,SUB,2,2012,23,10,0,0,"6' 3""","78""",Orthodox,2.22,42.0,1.64,59.0,1.79,36.0,73.0,0.6,69.69697,1981,14,5,0,0,"6' 5""","79""",Orthodox,2.38,51.0,3.02,40.0,2.87,64.0,66.0,1.0,73.68421,1982
1888,Yoislandy Izquierdo,Reza Madadi,0,Lightweight,f,SUB,2,2012,6,2,0,0,"5' 11""",,Southpaw,2.93,52.0,1.4,26.0,0.0,0.0,50.0,0.0,75.0,1984,14,6,0,0,"5' 11""","72""",Orthodox,2.51,46.0,3.31,66.0,3.17,33.0,89.0,0.5,70.0,1978
1889,Simeon Thoresen,Besam Yousef,1,Welterweight,f,SUB,2,2012,17,4,1,0,"6' 1""","79""",Orthodox,3.85,43.0,3.85,64.0,1.12,40.0,50.0,1.7,77.27273,1984,6,2,0,0,"5' 11""","71""",Orthodox,3.14,53.0,3.98,38.0,1.33,66.0,50.0,0.0,75.0,1985
1890,Jason Young,Eric Wisely,1,Featherweight,f,DEC,3,2012,8,7,0,0,"5' 9""","73""",Orthodox,2.97,37.0,3.2,50.0,1.98,66.0,55.0,0.0,53.333332,1986,19,8,1,0,"5' 8""",,Southpaw,1.42,47.0,2.08,56.0,0.0,0.0,27.0,0.9,67.85714,1984
1891,Jon Jones,Rashad Evans,1,Light Heavyweight,t,DEC,5,2012,22,1,0,1,"6' 4""","84""",Orthodox,4.41,55.0,2.12,65.0,2.13,50.0,95.0,0.6,91.666664,1987,24,8,1,0,"6' 0""","75""",Orthodox,2.14,37.0,2.42,63.0,2.98,44.0,73.0,0.0,72.72727,1979
1892,Rory MacDonald,Che Mills,1,Welterweight,f,KO/TKO,2,2012,18,4,0,0,"6' 0""","76""",Orthodox,3.75,42.0,2.8,62.0,1.77,47.0,88.0,0.4,81.818184,1989,15,5,0,2,"6' 1""","76""",Orthodox,2.08,52.0,2.87,43.0,1.18,66.0,58.0,0.0,68.181816,1982
1893,Brendan Schaub,Ben Rothwell,0,Heavyweight,f,KO/TKO,1,2012,11,5,0,0,"6' 4""","78""",Orthodox,2.92,37.0,2.22,57.0,2.32,46.0,72.0,0.4,68.75,1983,36,10,0,0,"6' 4""","78""",Orthodox,2.89,41.0,3.92,46.0,0.84,36.0,69.0,0.4,78.26087,1981
1894,Miguel Torres,Michael McDonald,0,Bantamweight,f,KO/TKO,1,2012,39,5,0,0,"5' 9""","76""",Orthodox,3.98,43.0,1.86,74.0,0.0,0.0,17.0,1.6,88.63636,1981,17,4,0,0,"5' 9""","70""",Orthodox,2.69,42.0,2.76,57.0,1.09,66.0,52.0,1.4,80.95238,1991
1895,Mark Hominick,Eddie Yagin,0,Featherweight,f,DEC,3,2012,20,12,0,0,"5' 8""","68""",Orthodox,4.08,42.0,4.18,69.0,0.25,66.0,71.0,0.9,62.5,1982,16,5,1,0,"5' 7""",,Orthodox,3.13,30.0,5.77,42.0,0.0,0.0,62.0,1.0,72.72727,1979
1896,John Alessio,Mark Bocek,0,Lightweight,f,DEC,3,2012,34,16,0,1,"5' 10""","72""",Orthodox,1.87,35.0,2.46,57.0,1.78,36.0,72.0,1.0,66.666664,1979,12,5,0,0,"5' 8""","75""",Orthodox,2.34,43.0,2.32,60.0,3.65,36.0,31.0,1.3,70.588234,1981
1897,Chad Griggs,Travis Browne,0,Heavyweight,f,SUB,1,2012,11,3,0,0,"6' 1""","73""",Orthodox,2.67,50.0,2.22,46.0,1.51,66.0,41.0,0.0,78.57143,1978,18,7,1,0,"6' 6""","79""",Orthodox,2.93,41.0,4.31,42.0,1.21,68.0,75.0,0.2,69.23077,1982
1898,Matt Brown,Stephen Thompson,1,Welterweight,f,DEC,3,2012,23,16,0,0,"6' 0""","75""",Orthodox,3.78,53.0,2.64,56.0,1.57,46.0,63.0,1.6,58.974358,1981,14,3,1,0,"6' 0""","75""",Orthodox,3.45,42.0,2.51,60.0,0.41,45.0,78.0,0.0,77.77778,1983
1899,John Makdessi,Anthony Njokuani,0,Lightweight,f,DEC,3,2012,16,6,0,0,"5' 8""","68""",Orthodox,5.49,50.0,3.89,71.0,0.0,0.0,87.0,0.0,72.72727,1985,16,9,0,1,"6' 1""","75""",Orthodox,3.94,46.0,2.41,65.0,0.5,45.0,53.0,0.2,61.53846,1980
1900,Mac Danzig,Efrain Escudero,1,Lightweight,f,DEC,3,2012,22,12,1,0,"5' 8""","70""",Orthodox,3.39,48.0,3.44,57.0,1.2,37.0,46.0,0.6,62.857143,1980,25,11,0,0,"5' 9""","70""",Orthodox,2.92,44.0,2.3,63.0,1.31,40.0,66.0,0.8,69.44444,1986
1901,Chris Clements,Keith Wisniewski,1,Welterweight,f,DEC,3,2012,12,6,0,1,"5' 10""","70""",Orthodox,3.2,49.0,2.37,44.0,0.0,0.0,32.0,0.3,63.157894,1976,28,13,1,0,"6' 0""","75""",Orthodox,2.32,52.0,4.86,42.0,1.57,40.0,78.0,0.3,66.666664,1981
1902,Marcus Brimage,Maximo Blanco,1,Featherweight,f,DEC,3,2012,7,5,0,0,"5' 4""","71""",Southpaw,3.97,35.0,3.64,56.0,0.56,100.0,80.0,0.0,58.333332,1985,12,8,1,1,"5' 8""","71""",Orthodox,4.11,44.0,3.19,66.0,1.85,36.0,63.0,0.3,54.545456,1983
1903,Jim Miller,Nate Diaz,0,Lightweight,f,SUB,2,2012,29,12,0,1,"5' 8""","71""",Southpaw,2.79,40.0,2.89,59.0,1.7,41.0,47.0,1.9,69.04762,1983,20,11,0,0,"6' 0""","76""",Southpaw,4.64,44.0,3.69,54.0,1.17,30.0,45.0,1.4,64.51613,1985
1904,Josh Koscheck,Johny Hendricks,0,Welterweight,f,DEC,3,2012,19,10,0,0,"5' 10""","73""",Orthodox,1.79,36.0,2.27,63.0,2.46,48.0,64.0,0.4,65.51724,1977,18,8,0,0,"5' 9""","69""",Southpaw,3.49,45.0,3.99,53.0,3.83,46.0,63.0,0.3,69.23077,1983
1905,Alan Belcher,Rousimar Palhares,1,Middleweight,f,KO/TKO,1,2012,17,7,0,0,"6' 2""","73""",Orthodox,2.7,41.0,3.1,59.0,0.44,26.0,55.0,0.9,70.833336,1984,24,5,0,0,"5' 8""","71""",Orthodox,1.75,51.0,2.04,59.0,3.93,45.0,0.0,4.1,82.75862,1980
1906,Lavar Johnson,Pat Barry,1,Heavyweight,f,KO/TKO,1,2012,17,7,0,0,"6' 4""","82""",Orthodox,5.39,55.0,2.54,55.0,0.61,66.0,54.0,0.6,70.833336,1977,8,7,0,0,"5' 11""","74""",Orthodox,2.72,52.0,3.54,59.0,0.0,0.0,76.0,0.2,53.333332,1979
1907,Michael Johnson,Tony Ferguson,1,Lightweight,f,DEC,3,2012,20,13,0,0,"5' 10""","73""",Southpaw,4.31,38.0,3.96,58.0,0.59,45.0,77.0,0.1,60.60606,1986,25,3,0,0,"5' 11""","76""",Orthodox,5.51,44.0,3.55,63.0,0.6,42.0,76.0,1.5,89.28571,1984
